"feature","coef.AD","qval.AD","coef.MCI","qval.MCI","coef.SCD","qval.SCD","coef.SCS","qval.SCS"
"K08314",13.9282419615215,4.24149660510521e-23,12.3771116575912,2.23472364089762e-22,11.2283716517539,2.82629685137342e-22,10.3184695157249,4.07079124255852e-22
"K02100",11.3377783321139,2.61459115943411e-22,10.8724856409376,2.61555202620548e-22,11.0553487648133,2.61459115943411e-22,11.1839824819627,2.61459115943411e-22
"K05367",12.2713651528172,2.61459115943411e-22,11.2312782113864,3.31956021432685e-22,11.0048688412365,3.67704980955113e-22,11.1475820597523,3.41381989454859e-22
"K03646",7.993872936009,8.77084834186883e-21,7.6450472016255,1.80197749392319e-20,10.7637592559424,2.61555202620548e-22,7.45792895756124,2.79611799049765e-20
"K14026",0.2,0.196369648020602,9.52648151828452,2.61555202620548e-22,8.59975056989852e-17,1,1.75541673428835e-17,1
"K04762",10.9755968409381,2.82629685137342e-22,10.4116038842143,3.41381989454859e-22,10.3206104007194,3.67704980955113e-22,10.5125086425192,3.31956021432685e-22
"K16053",11.3788239733921,3.31956021432685e-22,11.0381462903284,3.67704980955113e-22,11.8773527895089,2.82629685137342e-22,11.2795343019946,3.31956021432685e-22
"K01707",0.200000000000001,0.267362288851663,8.51919287201131,4.61801607669832e-21,10.5181805117746,3.31956021432685e-22,10.6460046279935,2.86720760454544e-22
"K03269",11.3221450132253,2.86720760454544e-22,10.6399055400304,3.96243248911569e-22,10.9060958651662,3.31956021432685e-22,10.615233883389,3.99921430439484e-22
"K18691",11.162275494108,2.86720760454544e-22,10.5931286860462,3.67704980955113e-22,10.69050785115,3.41381989454859e-22,10.2655966877917,4.95582578278354e-22
"K01277",11.8983899482015,3.31956021432685e-22,11.2404239154507,4.10891562262281e-22,11.6976914822499,3.31956021432685e-22,11.3125613791184,3.99921430439484e-22
"K03839",11.1006428417813,3.67704980955113e-22,10.9150792763045,4.07079124255852e-22,11.4119762517746,3.31956021432685e-22,11.4766054635695,3.31956021432685e-22
"K07289",7.47096984514269,3.31956021432685e-22,6.89312040540874,7.84961615849884e-22,6.49925248685416,2.06472753010111e-21,6.53449088185244,1.91721214926818e-21
"K07666",-0.2,0.240761497069399,8.69977593976898,1.49777283514795e-21,9.91598805071571,3.31956021432685e-22,-0.2,0.240761497069399
"K03772",12.3621774199392,3.67704980955113e-22,11.6570354758262,7.9310087381024e-22,11.9666453634642,5.20737136100816e-22,11.6908614655918,7.84961615849884e-22
"K13043",11.0976431648576,4.01886060000733e-22,10.402089012555,1.06015297649455e-21,11.0219711245631,4.10891562262281e-22,10.6005020541754,7.84961615849884e-22
"K10673",-2.89755246728372e-18,1,9.58060291644912,4.10891562262281e-22,0.2,0.250991771746975,7.0216669371534e-17,1
"K06137",-0.2,0.259443860828057,7.61017956035935,2.20242376772852e-20,9.58631519913873,5.26376251204578e-22,-0.2,0.259443860828057
"K00346",11.4037159220512,8.98255285107805e-22,10.5791270319247,3.11641634567233e-21,11.0843614339426,1.49609498202341e-21,11.0496254473494,1.53758791759838e-21
"K06138",-0.2,0.28097858284647,7.65074284469203,3.96459440215046e-20,9.58631519913873,1.03677609834997e-21,-0.2,0.28097858284647
"K15726",-0.2,0.441369787809176,11.4181200594795,6.6533234302991e-21,11.7346518975941,4.32705452555913e-21,12.4484441356175,1.69971022533752e-21
"K07272",0.810879547123026,0.000132808773404092,0.625912754686918,0.00166001712940226,-0.425005894068742,0.0244236096376759,-9.52993525242439,2.03343093443098e-21
"K05776",0.8242555348668,0.000396599915185148,9.64878292083671,1.11726388105857e-20,10.6604032807027,2.31060560878114e-21,10.7293649283044,2.06472753010111e-21
"K08218",10.6616951419314,2.80053471646619e-21,9.45707869684854,1.79293021912855e-20,9.10357906641987,3.53072456842467e-20,8.50986425010063,1.1041574355282e-19
"K13421",10.2332274979694,3.96624540782419e-21,9.54348085762906,1.14293369240435e-20,10.4557003745166,2.82116896700238e-21,10.3114131090059,3.45721856566935e-21
"K06188",4.52568659584859,2.98618328128883e-15,10.0514151224921,4.39465940366348e-21,9.77788651043018,6.79984245817094e-21,10.3023061151533,3.0532501185157e-21
"K00351",11.3190251017543,3.17531953689299e-21,10.160956899408,1.71686026751541e-20,10.639170174011,8.15846955564819e-21,10.6979726164927,7.39243858844624e-21
"K01184",-2.03672935405766e-18,1,7.93798239016819,3.43229531074465e-21,0.2,0.220621792008664,2.63312510143253e-17,1
"K02075",9.87401829741169,4.26695390457349e-21,9.27359616372558,1.11726388105857e-20,9.67358855355689,5.92742464720995e-21,9.52211865477275,7.11990566960548e-21
"K18300",11.0229964024328,4.32705452555913e-21,9.62836930563844,3.904749954614e-20,9.60922213010094,3.96459440215046e-20,9.03303351272169,1.14675644513369e-19
"K03473",10.450693462249,5.08966582280738e-21,9.46850966481292,2.47409614685223e-20,10.3348152515229,6.19368362491614e-21,10.3059323379766,6.41741698614163e-21
"K03642",-9.52059462270459,6.41741698614163e-21,1.57184936061903,6.0587083416884e-08,0.903801228445913,8.84077876525563e-05,0.198870242491609,0.342065458945296
"K12549",2.43237677779525e-16,1,8.54605146991804,6.44266566151155e-21,3.10405907790469e-16,1,1.27693061735884,2.60625145319052e-07
"K12127",7.60117743061015e-17,1,7.59337550847169,6.96574571723498e-21,1.25667681417517e-16,1,0.2,0.222158343135517
"K12129",7.60117743061015e-17,1,7.59337550847169,6.96574571723498e-21,1.25667681417517e-16,1,0.2,0.222158343135517
"K12130",7.60117743061015e-17,1,7.59337550847169,6.96574571723498e-21,1.25667681417517e-16,1,0.2,0.222158343135517
"K16240",7.60117743061015e-17,1,7.59337550847169,6.96574571723498e-21,1.25667681417517e-16,1,0.2,0.222158343135517
"K21573",11.9937132136106,8.22347735751664e-21,10.9996710767373,3.55253168685692e-20,11.4667652781987,1.71686026751541e-20,11.5498482560279,1.51183456155762e-20
"K07259",1.42958800467553,2.31124757475571e-07,8.00608854571826,1.08613341774827e-19,9.05708806725373,1.29157837234284e-20,9.24920740668691,9.31821630022753e-21
"K15576",1.36821193750983e-16,1,7.5860681487971,1.13608546986179e-20,1.02938735049651e-16,1,0.2,0.236942716403428
"K22067",1.36821193750983e-16,1,7.5860681487971,1.13608546986179e-20,1.02938735049651e-16,1,0.2,0.236942716403428
"K09880",0.2,0.258578281310193,7.88209812156339,1.17358804007784e-20,1.43329176164975e-17,1,3.5108334685767e-17,1
"K09882",2.95270013552964e-16,1,1.81378667835432,3.34533567203441e-09,8.74357113937836,1.17358804007784e-20,-1.75541673428835e-17,1
"K21990",10.7293910527377,1.1889129489373e-20,9.19928567293398,1.68308788640557e-19,7.83759347629208,2.70560780793923e-18,0.2,0.429012241575583
"K00428",-8.93056443702891,1.36387495041231e-20,1.90166074633521,2.55885129165193e-09,1.84799761573496,4.023541064467e-09,0.824893253452193,0.000206028758307008
"K21572",6.88360752803796,3.30605007136168e-19,7.08321439660504,1.9599294202141e-19,7.7434335662189,4.19857275182154e-20,8.24158997667606,1.44747756003285e-20
"K03634",8.69836272535611,6.7626295081763e-20,8.34142659999528,1.35935422401193e-19,9.00705905343173,3.74927024142e-20,9.31330807437991,2.08576105623059e-20
"K05340",6.91485169958034,2.56936357213898e-20,5.92882099682798,3.72574355417653e-19,6.19573699731789,1.68308788640557e-19,6.06822586065596,2.44647918463773e-19
"K12056",7.60117743061015e-17,1,7.525380453312,2.74628649812272e-20,9.70018461845214e-17,1,0.2,0.260069477567445
"K11811",0.2,0.259537942338983,7.46121436918126,3.13648983544925e-20,4.29987528494926e-17,1,1.75541673428835e-17,1
"K08676",2.17051962697347,3.79097675119277e-08,9.29719655638041,1.36628193230702e-18,11.3883889951419,3.96459440215046e-20,10.2798494621452,2.32955364509243e-19
"K15914",-8.04489129511718,1.10343387308847e-19,1.54665005671516,8.08809535234222e-08,0.502374160275326,0.0143642849708871,-8.46181764081162,4.5929355461507e-20
"K01659",1.33608702084094,1.6787879448114e-05,9.57320081738362,3.94422597197547e-19,10.7914637888386,4.93388351247407e-20,10.71873953482,5.55541379841009e-20
"K00326",0.2,0.235278734740278,6.8946244643904,5.45090817336465e-20,7.16645880824876e-17,1,5.26625020286505e-17,1
"K22468",-0.199999999999999,0.434896206619737,9.91074516423129,5.58861910674212e-20,9.40826906325407,1.35147455958231e-19,9.79646878584246,6.77558079427399e-20
"K01661",-5.13179071206568,6.08237585858123e-20,2.29251024160896,5.12789937303321e-14,1.89982625884016,1.25663395669234e-12,2.02314991297586,4.28518158410976e-13
"K07713",12.952495782832,6.7274852947597e-20,11.4995066782549,5.25152902085626e-19,11.6354484568579,4.3300132874264e-19,11.8279186465536,3.30080866918806e-19
"K00347",8.40055229805885,8.75094000043073e-20,7.8115848796868,3.10586693169859e-19,8.20267510087296,1.27362297037727e-19,8.51419545376415,6.77558079427399e-20
"K10537",4.10695740528438,2.44165813009794e-13,8.98122535498946,4.52315832059447e-19,9.81676906582881,9.78876785434762e-20,0.628948594762122,0.0116230277013937
"K12585",10.6443223880468,1.03537970468922e-19,10.2472573162122,1.94737817327481e-19,10.5677485779467,1.13743134622309e-19,10.5561494992927,1.14675644513369e-19
"K06143",2.13121140734684,3.6845180544145e-08,9.62583736335491,5.13732771383648e-19,9.99206601807822,2.7101975481633e-19,10.5397057638534,1.07405044522112e-19
"K16870",3.04047097224406e-17,1,8.88178419700125e-15,1,7.78522048241419,1.07405044522112e-19,0.40600095124729,0.0377165181412937
"K17713",0,1,7.20842527627584,3.72574355417653e-19,7.7483941702749,1.07405044522112e-19,1.49445348326175,7.47884338761648e-08
"K15727",-8.50589015184685,1.20510210111995e-19,2.66121532694586,4.12490242132043e-11,2.63174906622427,4.96717573388816e-11,3.04227365097524,4.52778377398125e-12
"K01130",2.20193979235738,2.72232174216995e-14,3.01114546095258,1.46135043340852e-16,3.74557443682125,3.71379004943817e-18,4.5539863616953,1.23382480745803e-19
"K09810",7.89400150439695,2.12487613439427e-19,7.08829365596069,1.40122921785017e-18,7.94654473623005,1.89899510007229e-19,7.64645251555725,3.72574355417653e-19
"K11607",0.2,0.243496154025952,6.29570123233246,3.52247761016119e-19,4.29987528494926e-17,1,1.05325004057301e-16,1
"K06177",4.61551444308437,7.29347184151772e-18,4.78120695980253,3.92509261511163e-18,5.48137936668909,3.72574355417653e-19,5.36935720281702,5.25461900036873e-19
"K12976",10.8269398055479,3.72574355417653e-19,8.55037163458489,2.16946042386548e-17,6.54782333044233,1.78740900039426e-15,0.628948594762123,0.0317103060660026
"K02852",-0.2,0.417087804685118,8.49664512348633,4.58939479801708e-19,7.99123076255974,1.36628193230702e-18,4.96111770444508,3.92996737266997e-15
"K04525",-0.221710019005278,0.382798785508382,-0.0217100190052748,1,8.85572716621376,4.58939479801708e-19,-0.221710019005278,0.382798785508382
"K05783",1.58023390691414,2.93934133734379e-06,8.7693109941699,3.17899644244995e-18,9.35727680483912,1.06007320480881e-18,9.80973219517717,4.58939479801708e-19
"K03606",11.25463369203,4.59499248962433e-19,10.2963882165106,2.13116252236899e-18,10.34762316913,1.97641614440579e-18,10.9066387310401,8.05656674813088e-19
"K07221",-7.12111152096275,5.46757502607902e-19,1.40292015017419,2.16583485857969e-07,0.555035547671962,0.00611162221941464,0.437676981018326,0.0266302443375431
"K10778",3.42673014027437,2.95817601379617e-16,2.55280431384961,4.18412937126424e-14,2.78125913296998,9.76200666399808e-15,4.96622060337302,5.59162240542332e-19
"K09125",5.55373979666044,3.13680065940277e-14,9.98676856060035,1.65039957164044e-18,10.5810364199889,6.03452022452552e-19,10.3070269331673,9.76870153144449e-19
"K07347",1.36821193750983e-16,1,11.3218789307395,6.05234232165311e-19,9.39691736257385,1.48842023859852e-17,0.2,0.575001088076001
"K12409",5.55600544959342e-17,1,8.09652210758755,7.24266384059778e-19,0.464726500101782,0.0405349949136838,3.5108334685767e-17,1
"K15303",8.49313201346071,7.24266384059778e-19,6.31565954486874,1.10555369737733e-16,0.454600718876328,0.0555097065246155,8.77708367144175e-18,1
"K17210",4.56070645836609e-17,1,10.5123625962716,7.93826111294669e-19,5.50984756458229,4.1576248559711e-14,0.2,0.546382636682283
