"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"K00675","Group","SCS",-0.720216857242266,1.23462416299747,0.566179182547094,"GroupSCS",0.685450675594276,25,25
"K01755","Group","SCS",-0.068663446638892,0.117742238296151,0.566299035098547,"GroupSCS",0.685556985117603,25,25
"K10672","Group","SCD",-0.134549744037493,0.230856954032051,0.566523605973213,"GroupSCD",0.685790046585735,25,25
"K03309","Group","SCD",-0.217022716407427,0.373000364227316,0.567182455482194,"GroupSCD",0.686548756364394,25,25
"K08081","Group","SCD",0.56417927470328,0.971733462380062,0.568001450006748,"GroupSCD",0.687501217646907,25,14
"K08217","Group","SCD",0.0765664128127266,0.131964995371393,0.568258080896397,"GroupSCD",0.687772932393897,25,25
"K11616","Group","AD",0.204896076511561,0.353211934563245,0.568329885914048,"GroupAD",0.687820930992532,25,25
"K10120","Group","AD",-0.26465274075429,0.457106409075051,0.569070727644627,"GroupAD",0.68865113076966,25,25
"K18331","Group","SCD",0.0734784739120524,0.126914667210129,0.569080231965711,"GroupSCD",0.68865113076966,25,25
"K19081","Group","MCI",0.209390582350799,0.361721066661169,0.569137548577031,"GroupMCI",0.68868153994764,25,25
"K00054","Group","AD",-0.505940522701285,0.874143933247473,0.569196494987766,"GroupAD",0.68871391770391,25,25
"K00645","Group","SCD",0.041544387688506,0.0718852051884826,0.569763977832547,"GroupSCD",0.689361573722301,25,25
"K10747","Group","AD",-0.392002876257231,0.678653872406934,0.569968314658203,"GroupAD",0.689569808336269,25,24
"K20480","Group","AD",0.460458347704155,0.797654448214329,0.57020202539889,"GroupAD",0.689813555096384,25,25
"K20037","Group","SCS",-0.204343463846313,0.354158881569505,0.570389503780506,"GroupSCS",0.690001346915119,25,25
"K18821","Group","SCD",-0.235577819016417,0.408328958512482,0.570423302782589,"GroupSCD",0.690003221751259,25,17
"K02778","Group","MCI",-0.186596481842159,0.323717965510658,0.57076434356991,"GroupMCI",0.690337698983708,25,25
"K02779","Group","MCI",-0.186596481842159,0.323717965510658,0.57076434356991,"GroupMCI",0.690337698983708,25,25
"K21828","Group","SCS",0.346810144609256,0.602306502298078,0.571170979479385,"GroupSCS",0.690790474079528,25,16
"K02195","Group","AD",0.299376646221489,0.520195226443843,0.571366704124871,"GroupAD",0.690988130310634,25,21
"K09123","Group","AD",-0.156890756220021,0.272848405153301,0.571696698568048,"GroupAD",0.691348135565588,25,25
"K02424","Group","AD",0.16952185326731,0.294884894393403,0.571786953931564,"GroupAD",0.691418202007445,25,25
"K01689","Group","SCD",-0.046590391084219,0.0812050018044702,0.572541307753523,"GroupSCD",0.692261521772884,25,25
"K12943","Group","AD",0.2,0.348598304376855,0.572549069419188,"GroupAD",0.692261521772884,25,12
"K01856","Group","SCS",0.254825897967268,0.444853073387177,0.573143149613325,"GroupSCS",0.69294065825432,25,25
"K07282","Group","AD",-0.0568797672994741,0.0993157003630742,0.573219422305308,"GroupAD",0.692993714523922,25,25
"K07652","Group","AD",-0.252876152992983,0.441672067579958,0.573335003517544,"GroupAD",0.693094284155114,25,25
"K10947","Group","AD",0.0685588042764028,0.119848973304603,0.573666855715103,"GroupAD",0.693456273722053,25,25
"K05592","Group","MCI",0.0325995829941737,0.0570153590458661,0.573849530377482,"GroupMCI",0.693637904748692,25,25
"K19170","Group","SCD",0.573396042008272,1.00342823017573,0.574069820454893,"GroupSCD",0.693864980140825,25,20
"K21993","Group","MCI",-0.154440474015367,0.270501652056274,0.574399627723337,"GroupMCI",0.69422439331009,25,25
"K17838","Group","MCI",0.199999999999989,0.350727109142847,0.574863225811195,"GroupMCI",0.69470621742199,25,6
"K22351","Group","MCI",0.199999999999989,0.350727109142847,0.574863225811195,"GroupMCI",0.69470621742199,25,6
"K10234","Group","SCD",-0.469374252366473,0.825514933599908,0.575968247519355,"GroupSCD",0.696002294359207,25,13
"K11102","Group","SCS",0.130247477188487,0.229144482732147,0.576085413029981,"GroupSCS",0.696104563008385,25,25
"K00891","Group","AD",-0.0370610798727124,0.065216228160752,0.576170406834227,"GroupAD",0.696167948081383,25,25
"K02408","Group","SCD",-0.0959798074156758,0.168998755450869,0.576402189108906,"GroupSCD",0.696408675711454,25,25
"K02244","Group","AD",0.313461301696563,0.552246626081779,0.576616010473288,"GroupAD",0.696627677023516,25,21
"K10206","Group","SCD",0.038134146372397,0.0672210644164252,0.576826888306683,"GroupSCD",0.696801081086378,25,25
"K13779","Group","SCD",-0.200020446358299,0.352614867718942,0.576857241974341,"GroupSCD",0.696801081086378,25,11
"K13779","Group","SCS",-0.200020446358298,0.352614867718942,0.576857241974342,"GroupSCS",0.696801081086378,25,11
"K02004","Group","AD",0.0510524197892356,0.0901463756626469,0.577471163549029,"GroupAD",0.697503275109802,25,25
"K20489","Group","AD",-0.447954359176274,0.791313200688725,0.577629995737202,"GroupAD",0.697655737442459,25,25
"K12240","Group","SCS",0.569394911285105,1.00618317825701,0.577759344118635,"GroupSCS",0.697772574326164,25,25
"K22278","Group","SCS",0.0442747502405304,0.0782890537347957,0.578003878699551,"GroupSCS",0.698028503056703,25,25
"K13640","Group","SCD",0.116382479507601,0.205983581567769,0.578351293607578,"GroupSCD",0.698408639690018,25,25
"K14447","Group","MCI",0.200000000000009,0.354360643236131,0.578759576477103,"GroupMCI",0.698862232535928,25,9
"K01883","Group","SCS",-0.0464319510083449,0.082300727784158,0.578908118334631,"GroupSCS",0.698962705258606,25,25
"K02956","Group","SCD",0.0453994260297026,0.080469716659277,0.578904100137548,"GroupSCD",0.698962705258606,25,25
"K02574","Group","SCD",0.357822558381624,0.63509637422464,0.579415377837569,"GroupSCD",0.69953568582624,25,25
"K05934","Group","MCI",0.189896464788066,0.337135976200812,0.579516140345177,"GroupMCI",0.699617860341105,25,25
"K00216","Group","AD",0.224585284237983,0.39899176347606,0.579771135449446,"GroupAD",0.69988621158183,25,14
"K01846","Group","SCD",0.704906828620886,1.25449071282532,0.58042287067418,"GroupSCD",0.700633440955981,25,20
"K13993","Group","AD",0.0407013694475093,0.0725418910975942,0.580979690387407,"GroupAD",0.701266019154291,25,25
"K03979","Group","AD",-0.0353400019870577,0.063080091279976,0.581537484492026,"GroupAD",0.701899702047238,25,25
"K01890","Group","SCS",0.0339023574887957,0.0605336125824647,0.58165913510454,"GroupSCS",0.701986407761711,25,25
