"feature","coef.AD","qval.AD"
"map05031",-2.48443618535838,0.0283817884039878
"map05034",-2.4967162942912,0.0283817884039878
"map00071",-0.148717251457759,0.0295416599623714
"map00261",0.127209452005361,0.029572070777781
"map05203",0.20286549056596,0.0298377168534146
"map00920",-0.102535657281242,0.0303852534831228
"map05165",0.200324618342312,0.0304733616813156
"map03430",0.0570072518514506,0.0320047207239542
"map01210",-0.0638765554382427,0.0370492350673676
"map04152",-0.348113025198834,0.0378506942003201
"map05231",-0.962214245965486,0.038121668156635
"map00660",-0.106749628075926,0.0473343104057486
"map00401",0.110717564580876,0.0646019838254775
"map00908",-0.114606366124073,0.0656258592576376
"map04066",0.0751795424113107,0.0661605333470994
"map01501",0.085131568793583,0.0685240650575308
"map03050",1.82376365604466,0.0689583694361115
"map01502",-0.125697612038273,0.069134115567665
"map05120",0.131413116538661,0.0769857274026425
"map04016",0.191418155630476,0.0888275743715898
"map04550",-2.80746235406922,0.0947683784416335
"map05210",-1.40307409164691,0.0947683784416335
"map02020",-0.123558676274248,0.101373497650402
"map04724",0.118933127761192,0.111734963005298
"map05164",1.58649830328663,0.115475318675341
"map00650",0.0905629347290017,0.116716030767996
"map00260",-0.0885929880503411,0.118921712763144
"map04113",-1.44558700252566,0.131705213123137
"map01524",-0.214996147209717,0.135689382982909
"map00500",0.0543008775665566,0.140508984384516
"map00440",-0.143169175369989,0.152669469804691
"map04922",-0.0946164660629488,0.156944469558978
"map04112",0.0461190375195267,0.170607401178283
"map00903",-0.249120543683889,0.170838934131346
"map00290",0.0827728951665579,0.177611293590925
"map05142",1.56265696093145,0.179174895579862
"map00984",-0.937904927059956,0.183760070718397
"map03030",0.0437415788307416,0.188483664612472
"map00730",0.0642461143618252,0.196592214960644
"map00270",0.0235706222571266,0.206886462798365
"map00620",0.00519638370239045,0.207911891924744
"map00190",-0.0203376081438451,0.209769610192494
"map00981",0.879916111175852,0.218682072459338
"map00680",-0.0829713887921478,0.221620362840774
"map04918",-0.474915476795404,0.222788002089452
"map05131",-2.20761262765066,0.222788002089452
"map00900",-0.0388340167397763,0.266136132432195
"map01110",0.0121190386764731,0.268468118303338
"map04072",-0.863528387603491,0.316687061475338
"map00333",-0.0568928406809299,0.358435058608343
"map03450",-0.489524841283202,0.368104397428591
"map04621",0.037670037003154,0.370269367015105
"map00770",-0.012323317889045,0.376722445899142
"map00966",-0.0662320261933447,0.384238955738451
"map00332",0.0852044543258632,0.417036289541532
"map04934",-0.177064221615955,0.482435420207581
"map05211",-0.177064221615955,0.482435420207581
"map01200",0.0204479259438719,0.539304252211987
"map03070",0.0452383711870784,0.552337821742486
"map00380",-0.025667777126966,0.567243400210213
"map00960",-0.0359960188204419,0.578364895166934
"map04725",0.485278156287995,0.60434669268064
"map00471",-0.0157345439329999,0.610291746865252
"map00121",0.0653486431760353,0.642356596435181
"map04151",-0.0650508506967036,0.642711409450325
"map05143",0.416878462395356,0.69003370137199
"map04721",0.430651157127449,0.718889018538788
"map00120",0.0356232380614691,0.770913719960586
"map04966",0.313658656983214,0.787016104193049
"map05323",0.313658656983214,0.787016104193049
"map05152",0.00686594998287292,0.840577481121379
"map00550",0.00628943091393537,0.853144704609677
"map01130",0.00144579799908346,0.853144704609677
"map00230",0.00191784390675396,0.915050588556354
"map00480",0.00965740350709172,0.915050588556354
"map00280",-0.00209517246702024,0.955257896413285
"map00565",-0.0155085368793098,0.98911226843709
