"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_venenatum","Group","SCS",1.90144829940015,0.575302532225103,0.00353453594928279,"GroupSCS",0.0133302498658665,25,10
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_paradoxus","Group","SCS",1.02925788845013,0.333303099621624,0.00579981921565563,"GroupSCS",0.0200096484182943,25,5
"k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani","Group","MCI",-1.70525296859062,0.553725414515861,0.00591194157813239,"GroupMCI",0.0200096484182943,25,5
"k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani","Group","AD",-1.70525296859062,0.553725414515861,0.00591194157813235,"GroupAD",0.0200096484182943,25,5
"k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani","Group","SCS",-1.70525296859062,0.553725414515861,0.00591194157813235,"GroupSCS",0.0200096484182943,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans","Group","SCD",-0.980766970688988,0.340196954200875,0.00919746281106178,"GroupSCD",0.0289063116919085,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans","Group","AD",-0.980766970688988,0.340196954200875,0.00919746281106178,"GroupAD",0.0289063116919085,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans","Group","SCS",-0.980766970688988,0.340196954200875,0.00919746281106178,"GroupSCS",0.0289063116919085,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria.s__Zymoseptoria_tritici","Group","SCS",-1.98351782305266,0.695703937951927,0.00987295475511002,"GroupSCS",0.0303076750621982,25,20
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Thermothielavioides.s__Thermothielavioides_terrestris","Group","SCS",1.09392910480634,0.423309143404194,0.0177205487859651,"GroupSCS",0.0531616463578953,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_puulaauensis","Group","SCS",0.722286286792178,0.338421068975725,0.0453852385611079,"GroupSCS",0.133130033112583,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi","Group","MCI",-1.23858892405431,0.606371837325191,0.054494846069278,"GroupMCI",0.149860826690515,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi","Group","SCD",-1.23858892405431,0.606371837325191,0.0544948460692782,"GroupSCD",0.149860826690515,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi","Group","AD",-1.23858892405431,0.606371837325191,0.0544948460692782,"GroupAD",0.149860826690515,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Fulvia.s__Fulvia_fulva","Group","MCI",0.564436321543999,0.286646927741609,0.0629538706354066,"GroupMCI",0.169590018854565,25,4
"k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani","Group","SCD",-1.03069399568783,0.553725414515861,0.0774539937094231,"GroupSCD",0.204478543392877,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria.s__Zymoseptoria_tritici","Group","MCI",-1.2430791510397,0.695703937951927,0.0891389413635795,"GroupMCI",0.2307125541175,25,20
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Thermothielavioides.s__Thermothielavioides_terrestris","Group","MCI",0.721149746677097,0.423309143404193,0.103945347684824,"GroupMCI",0.263861267199938,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Ustilaginoidea.s__Ustilaginoidea_virens","Group","SCS",0.51674956961626,0.314741297222869,0.116258398861396,"GroupSCS",0.289549219805741,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_higginsianum","Group","MCI",0.815518629234333,0.534104715659458,0.142449057318448,"GroupMCI",0.344732983481312,25,8
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_poae","Group","SCS",0.2,0.131397391669828,0.143638743117213,"GroupSCS",0.344732983481312,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_nidulans","Group","SCS",-0.803054404750485,0.551269133710299,0.160710409159403,"GroupSCS",0.372171473842827,25,9
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Pichiaceae.g__Ogataea.s__Ogataea_parapolymorpha","Group","AD",0.659379860079168,0.449981627639929,0.158370935927946,"GroupAD",0.372171473842827,25,3
