feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
map00140	Group	AD	3.14062468013391	0.0680759310440033	10	10	5.38483725290593e-11	1.23554091154033e-08
map00524	Group	AD	1.06784952418591	0.0245827661404854	10	10	8.70099233479105e-11	1.23554091154033e-08
map04071	Group	AD	1.09651297245561	0.0349819371782066	10	5	1.16729093727029e-09	1.10503542061587e-07
map02024	Group	AD	-0.508781226802575	0.0229556300902971	10	10	1.8147750931764e-08	1.28849031615524e-06
map04211	Group	AD	1.66463209571209	0.0806458105247241	10	10	3.17861268792001e-08	1.80545200673857e-06
map00364	Group	AD	-4.56218777132877	0.233656830798882	10	10	4.92023573964245e-08	2.32891158343076e-06
map04013	Group	AD	1.77732745436351	0.0960864553240875	10	10	7.52026290663318e-08	3.05107809354832e-06
map05100	Group	AD	-1.59439940265366	0.0893339880259672	10	10	9.94914616023779e-08	3.53194688688442e-06
map00361	Group	AD	-1.16477139580666	0.0706374128821913	10	10	1.84596182741431e-07	4.02240668079228e-06
map00513	Group	AD	1.90926798447909	0.114294902903489	10	10	1.66838116081353e-07	4.02240668079228e-06
map00604	Group	AD	1.93341878438296	0.119386371544789	10	10	2.12451057084099e-07	4.02240668079228e-06
map00906	Group	AD	-3.7339528796166	0.229979287158048	10	10	2.08268379021076e-07	4.02240668079228e-06
map04011	Group	AD	1.58790825411008	0.0923855232715046	10	10	1.33555445865901e-07	4.02240668079228e-06
map04212	Group	AD	0.30660815556676	0.0184748683994586	10	10	1.75559113918633e-07	4.02240668079228e-06
map05230	Group	AD	0.372623049868309	0.022778799187486	10	10	1.96444336278583e-07	4.02240668079228e-06
map04122	Group	AD	-0.46810307095536	0.0293537402336992	10	10	2.39527426443391e-07	4.25161181937019e-06
map00603	Group	AD	0.798276739968762	0.0531854889832791	10	10	3.83496822222007e-07	6.40665279476765e-06
map00540	Group	AD	0.720886949598162	0.049875784154755	10	10	5.1360152812039e-07	7.29314169930953e-06
map00601	Group	AD	-1.22203624698199	0.0843777334990304	10	5	5.05625445493921e-07	7.29314169930953e-06
map04614	Group	AD	5.02899111065636	0.344553685751092	10	10	4.76180700502466e-07	7.29314169930953e-06
map00625	Group	AD	-0.849782166255597	0.0605099355279393	10	10	6.41481381704922e-07	7.92090053931295e-06
map00670	Group	AD	0.301151264327098	0.0212032527001281	10	10	5.87943420914405e-07	7.92090053931295e-06
map05020	Group	AD	-1.54914651333481	0.109948949269858	10	10	6.25486369372232e-07	7.92090053931295e-06
map04320	Group	AD	-3.39588832080042	0.243392063213246	10	10	6.7461283368656e-07	7.98291853195762e-06
map04940	Group	AD	0.505865210560972	0.0374557887579155	10	10	8.66874880636197e-07	9.8476986440272e-06
map00450	Group	AD	-0.328654710135648	0.024611619441391	10	10	9.45761049960237e-07	1.0202482362059e-05
map00626	Group	AD	-0.923944140538002	0.06941808351375	10	10	9.69954309068993e-07	1.0202482362059e-05
map02026	Group	AD	-0.300282755618975	0.0227005636613292	10	10	1.01706084522442e-06	1.03159028587048e-05
map00909	Group	AD	-1.37021217928889	0.104615039351583	10	5	1.09743751785107e-06	1.03890751689901e-05
map04921	Group	AD	-1.28558130896021	0.0978193354310328	10	5	1.06906632242238e-06	1.03890751689901e-05
map00400	Group	AD	-0.263854225429658	0.0204402274763272	10	10	1.22700628021086e-06	1.05745319987805e-05
map00523	Group	AD	0.514336148796603	0.0395632468719055	10	10	1.16209393588992e-06	1.05745319987805e-05
map04142	Group	AD	1.38858376355615	0.107590340602949	10	10	1.22873083084422e-06	1.05745319987805e-05
map00130	Group	AD	0.813162811220031	0.0632627419428785	10	10	1.26772383169012e-06	1.05892225941175e-05
map04974	Group	AD	10.3429410315888	0.80942565742238	10	9	1.32637524125729e-06	1.07625876719163e-05
map01503	Group	AD	0.876060930352445	0.0688895862105152	10	10	1.37610559598566e-06	1.08559441461091e-05
map00521	Group	AD	0.636423956782626	0.0502631985546143	10	10	1.4226032090164e-06	1.09194408475853e-05
map00100	Group	AD	-1.46019683112938	0.120236447602813	10	5	1.95701206167162e-06	1.42332550274538e-05
map00564	Group	AD	0.30511447768063	0.0252850635226245	10	10	2.05480090185072e-06	1.42332550274538e-05
map01062	Group	AD	-5.83153252983641	0.483006868177044	10	10	2.04649751674692e-06	1.42332550274538e-05
map03060	Group	AD	0.432059504377052	0.035533828122262	10	10	1.93900091798772e-06	1.42332550274538e-05
map00515	Group	AD	-3.15962688432968	0.262901523200442	10	10	2.11912557618866e-06	1.43293253247043e-05
map05014	Group	AD	0.577686071489525	0.0482555198178171	10	10	2.18320542637126e-06	1.44193102578939e-05
map00053	Group	AD	-0.825221106217305	0.0692523685851555	10	10	2.26151424264629e-06	1.45970464752624e-05
map00531	Group	AD	1.11537185557704	0.0958592354120056	10	10	2.71100172586593e-06	1.69355587646279e-05
map00623	Group	AD	-1.80850488067672	0.155670553356729	10	10	2.74308346187636e-06	1.69355587646279e-05
map05110	Group	AD	-4.16354880638149	0.372720396994713	10	10	3.69293084755835e-06	2.23147310788632e-05
map00941	Group	AD	7.5278892924583	0.678770997996115	10	10	3.89984136413897e-06	2.23745154244329e-05
map00945	Group	AD	7.5278892924583	0.678770997996115	10	10	3.89984136413897e-06	2.23745154244329e-05
map04925	Group	AD	-1.34711688152407	0.121627530847506	10	5	3.93917525078044e-06	2.23745154244329e-05
map04330	Group	AD	-3.37585303908205	0.307716655568403	10	10	4.23339208742936e-06	2.3120833708268e-05
map05226	Group	AD	4.75543806575239	0.433102455068073	10	9	4.20643854606273e-06	2.3120833708268e-05
map04214	Group	AD	0.943558797870588	0.086799437986031	10	10	4.53658048636081e-06	2.43092237382353e-05
map02025	Group	AD	-0.712925711425289	0.0664715053795171	10	10	5.0207710113918e-06	2.64055364302828e-05
map00622	Group	AD	-1.21881342993189	0.115429843678976	10	10	5.64752566824569e-06	2.91617689051232e-05
map04310	Group	AD	-3.45812352957625	0.330779497211585	10	10	6.08545220583146e-06	3.03204987097568e-05
map05220	Group	AD	-3.45923973602891	0.330607219750553	10	10	6.04702270257468e-06	3.03204987097568e-05
map00621	Group	AD	-1.52463768374029	0.148915693473291	10	10	7.11784647248036e-06	3.48529034169728e-05
map00040	Group	AD	-0.480688374498208	0.0470958321359674	10	10	7.2848294129962e-06	3.50659585303546e-05
map00362	Group	AD	-0.620687416912013	0.06241360270025	10	10	8.84654091847615e-06	4.18736270141204e-05
map04917	Group	AD	-0.726355580853443	0.0735247406360478	10	10	9.29468069314992e-06	4.32735953582717e-05
map04145	Group	AD	-4.24015239444801	0.430587007723159	10	10	9.51989120283618e-06	4.36072435742818e-05
map03008	Group	AD	0.613175753757075	0.0629963392627685	10	10	1.03808698838633e-05	4.67963023336058e-05
map00350	Group	AD	-0.488598044356161	0.050792070654996	10	10	1.13303217017464e-05	5.02783025514998e-05
map00072	Group	AD	-1.17495051461505	0.124056077659787	10	10	1.27158463147833e-05	5.37192501741479e-05
map00360	Group	AD	-0.450870901872422	0.0476959598231713	10	10	1.2897369906325e-05	5.37192501741479e-05
